Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
306,40143991,558,172.78,21936.0,22.19
307,40215095,785,647.86,21998.0,22.19
308,40306897,113,23.02,22053.0,22.19
309,40478865,614,229.43,22143.0,22.19
310,40514861,620,217.12,22193.0,22.19
311,40517128,588,183.26,22212.0,22.19
312,40557501,460,119.54,22252.0,22.19
313,40654566,684,283.21,22321.0,22.19
314,41106595,476,129.76,22527.0,22.19
315,41168189,601,200.55,22579.0,22.19
316,41383658,639,249.88,22684.0,22.19
317,41393170,326,59.13,22708.0,22.19
318,41492205,51,15.86,22772.0,22.19
319,41648307,51,15.86,22845.0,22.19
320,41795154,665,286.02,22935.0,22.19
321,42474352,591,188.65,23217.0,22.19
322,42566220,691,332.16,23284.0,22.19
323,42679247,463,119.23,23348.0,22.19
324,42870186,679,318.29,23439.0,22.19
325,43019092,31,12.01,23506.0,22.19
326,43346107,547,162.22,23654.0,22.19
327,43349039,408,90.57,23673.0,22.19
328,43396499,44,14.51,23708.0,22.19
329,43756324,460,119.54,23850.0,22.19
330,43773829,675,317.99,23874.0,22.19
331,43823216,639,249.88,23925.0,22.19
332,44001806,647,246.69,24013.0,22.19
333,44067381,700,294.28,24056.0,22.19
334,44129814,543,164.77,24100.0,22.19
335,44434196,664,270.86,24251.0,22.19
336,44499502,39,13.53,24288.0,22.19
337,44610446,216,36.85,24369.0,22.19
338,44672832,408,90.57,24419.0,22.19
339,44739637,327,59.28,24470.0,22.19
340,44774774,401,87.91,24499.0,22.19
341,44900041,49,15.48,24578.0,22.19
342,44920066,624,242.54,24606.0,22.19
343,45242763,145,25.96,24744.0,22.19
344,45522199,624,242.54,24867.0,22.19
345,45593729,67,18.51,24915.0,22.19
346,45603139,103,22.23,24935.0,22.19
347,46149826,688,328.69,25172.0,22.19
348,46622259,654,259.18,25384.0,22.19
349,46807327,681,309.95,25470.0,22.19
350,46822644,835,828.23,25496.0,22.19
351,46824612,636,231.85,25516.0,22.19
352,46876881,659,253.36,25566.0,22.19
353,47067546,304,53.73,25654.0,22.19
354,47137794,352,66.89,25705.0,22.19
355,47144222,696,307.73,25728.0,22.19
